latitude,longitude,unique_squirrel_id,other_activities,lat_long
40.7695918717513,-73.9715621134573,7H-AM-1006-02,"running (along ground,up tree)",POINT (-73.9715621134573 40.76959187175131)
40.7744535798123,-73.9714242426496,11E-PM-1012-05,"foraging (foraged,ran to tree root,munched)",POINT (-73.9714242426496 40.7744535798123)
40.7906012261163,-73.9563847867316,33G-AM-1013-03,"peeking out of tree,did *not* come out",POINT (-73.9563847867316 40.7906012261163)
40.7951748673846,-73.9589635326362,37C-AM-1012-02,caching,POINT (-73.9589635326362 40.7951748673846)
40.7869888639434,-73.9676370985166,25A-AM-1013-01,staring at me,POINT (-73.96763709851662 40.7869888639434)
40.7938449345017,-73.9628525533831,34A-PM-1013-02,eating upside down on tree trunk,POINT (-73.9628525533831 40.7938449345017)
40.7763136791661,-73.965394655961,15I-PM-1012-05,burying the food on ground,POINT (-73.965394655961 40.7763136791661)
40.7891042935432,-73.9662409997642,28A-PM-1007-03,chasing #2 took #2 food wrapper and is foraging through it,POINT (-73.9662409997642 40.7891042935432)
40.7702960667277,-73.970216605149,8H-PM-1014-08,"chasing (#7),playing?",POINT (-73.970216605149 40.7702960667277)
40.7818152496266,-73.9689305978751,19C-PM-1018-06,climbing (fence),POINT (-73.9689305978751 40.7818152496266)
40.7947329828155,-73.9520024654602,39I-PM-1013-04,playing,POINT (-73.95200246546021 40.7947329828155)
40.7700276115314,-73.9703921271418,7H-PM-1006-06,playing w/ #7,POINT (-73.9703921271418 40.770027611531404)
40.7753262103123,-73.9767220179725,10A-PM-1014-03,eating (in a tree),POINT (-73.9767220179725 40.7753262103123)
40.7761212878075,-73.9711617997772,13D-PM-1018-04,digging,POINT (-73.9711617997772 40.7761212878075)
40.7735818387346,-73.976422624924,8B-AM-1007-08,holding nut,POINT (-73.976422624924 40.7735818387346)
40.7913193931203,-73.958939037549,33E-PM-1012-04,playing,POINT (-73.958939037549 40.7913193931203)
40.7689469479245,-73.9790044506465,3B-AM-1010-03,chasing #2,POINT (-73.9790044506465 40.7689469479245)
40.7672600003683,-73.9784942525972,1D-AM-1006-06,tumbling,POINT (-73.9784942525972 40.7672600003683)
40.7837095769482,-73.968200390984,22B-AM-1013-02,climbed tree,POINT (-73.968200390984 40.7837095769482)
40.7891062338302,-73.9662864884789,28A-PM-1007-02,running from #3,POINT (-73.9662864884789 40.7891062338302)
40.7700658823854,-73.9703169373939,7H-AM-1006-13,running (up tree),POINT (-73.9703169373939 40.7700658823854)
40.7960214726964,-73.9581310602492,38C-PM-1014-05,chasing (#4),POINT (-73.9581310602492 40.7960214726964)
40.7950130863913,-73.9611312355348,36A-PM-1013-04,sitting,POINT (-73.9611312355348 40.7950130863913)
40.7683044693163,-73.9805517765469,2B-PM-1013-05,climbing fence!,POINT (-73.9805517765469 40.7683044693163)
40.768191647092,-73.9754696312232,4E-AM-1020-02,foraging (on the tree itself),POINT (-73.9754696312232 40.768191647092)
40.7705707694822,-73.9726828460055,7F-AM-1008-08,playing w/ #9,POINT (-73.9726828460055 40.7705707694822)
40.7987827316512,-73.9544278270221,42D-PM-1013-02,"chasing (chased by #1),found a nut,buried it",POINT (-73.9544278270221 40.7987827316512)
40.7710769301257,-73.9770508584979,6C-AM-1007-02,pulling things off branches,POINT (-73.9770508584979 40.7710769301257)
40.7956853415959,-73.9545425520879,39F-PM-1006-04,climbing down,POINT (-73.9545425520879 40.7956853415959)
40.7776953065849,-73.9639024988123,18I-PM-1007-01,hanging upside down,POINT (-73.9639024988123 40.7776953065849)
40.7732949090005,-73.9770119133023,8A-AM-1013-04,playing tag together,POINT (-73.9770119133023 40.7732949090005)
40.7697178648002,-73.9713665249614,7H-AM-1006-01,nut in mouth,POINT (-73.9713665249614 40.7697178648002)
40.7783069735758,-73.9736800575584,14A-PM-1014-04,chasing (#3),POINT (-73.9736800575584 40.7783069735758)
40.7750175306716,-73.9762494239719,10A-AM-1006-01,eating (a peanut),POINT (-73.9762494239719 40.7750175306716)
40.7715437147052,-73.9766342125035,6C-AM-1007-08,dropping acorns,POINT (-73.9766342125035 40.7715437147052)
40.7953143196705,-73.9561600237284,38E-AM-1010-10,chillin',POINT (-73.9561600237284 40.7953143196705)
40.7659431884158,-73.9746934810667,2G-PM-1007-02,burying nut,POINT (-73.9746934810667 40.7659431884158)
40.7982428507976,-73.9593373093799,39A-PM-1014-03,digging?,POINT (-73.95933730937992 40.7982428507976)
